created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 26 10:04:35 +0000 2023;1695376686450417841;"@detikcom Sebegitu kuatnya ingin mendapatkan dukungan untuk membangun IKN dan jual mobil listrik yang banyak, sampai-sampai Jakarta selalu jelek di mata para pejabat-pejabat koruptor yang serakah!!!";0;0;0;1;in;2194647685;1695318657872568476;orange_barbar;https://twitter.com/orange_barbar/status/1695376686450417841
Sat Aug 26 10:04:32 +0000 2023;1695376673028591987;"Demokrat Kritik Anggaran IKN Terlalu Besar, Bikin Daerah Lain Iri  https://t.co/jLuzTUcXKf";0;0;1;1;in;1300239613437423616;1695376673028591987;tapakibas;https://twitter.com/tapakibas/status/1695376673028591987
Sat Aug 26 10:02:58 +0000 2023;1695376279334539405;"@retnooputrii_ Gas ikn";0;1;0;0;in;1182867021567938560;1695370905911009725;ntiiippp;https://twitter.com/ntiiippp/status/1695376279334539405
Sat Aug 26 10:02:32 +0000 2023;1695376169758339153;"@MgmPtmgm @jokowi Paham apa loe tentang hutang negara....";0;0;0;0;in;1644630049352736769;1695046406409695474;Nusanta14085Ikn;https://twitter.com/Nusanta14085Ikn/status/1695376169758339153
Sat Aug 26 10:01:14 +0000 2023;1695375842971632045;"@BangPakatDayak Lha pan para panglima tunduk kepada para Tetua Adat,  sedangkan para Tetua Adat sudah sepakat mengizinkan pemerintah untuk bisa membangun IKN, bagaimana koq bisa menolak?";0;1;0;18;in;1247287718016471040;1695330252321698128;C_K_HEAD;https://twitter.com/C_K_HEAD/status/1695375842971632045
Sat Aug 26 09:55:35 +0000 2023;1695374422256009571;"@kumparan Kemaren temen gue blg yang mau dipindah ke Ikn bakal dpet rumah, mobil dan uang 50jt 😥😓";0;0;0;0;in;516314845;1695263923589575042;permenkar;https://twitter.com/permenkar/status/1695374422256009571
Sat Aug 26 09:52:47 +0000 2023;1695373716153323759;"@kumparan judulnya "Dormitory PNS IKN"";0;0;0;0;in;135100035;1695263923589575042;andywindarto;https://twitter.com/andywindarto/status/1695373716153323759
Sat Aug 26 09:52:29 +0000 2023;1695373641444417580;"Apa yg disampaikan anies benar adanya, tidak perlu otot politik jika yg di canangkan itu benar, baik, berdasarkan keilmuan, dll.. apalagi IKN ini sudah di UU kan.. dan jangan2 memamg ada masalah di proyek IKN ini..";0;0;0;0;in;583807385;1695373641444417580;aacayyyyyy;https://twitter.com/aacayyyyyy/status/1695373641444417580
Sat Aug 26 09:52:00 +0000 2023;1695373521906745401;"IKN HARGA MATI.......tuk MEMAJUKAN KALIMANTAN,memajukan cocot e!";0;0;1;4;in;1434495317496381443;1695373521906745401;ArdoyantoE;https://twitter.com/ArdoyantoE/status/1695373521906745401
Sat Aug 26 09:48:24 +0000 2023;1695372612778758548;"@BetaEpsilonPhi Makanya pindah ke OIKN aja, kalaupun endingnya sama-sama ke IKN kan mending dapet THP yg lebih 😆";0;1;0;0;in;55596860;1695320289712943176;lugisz;https://twitter.com/lugisz/status/1695372612778758548
Sat Aug 26 09:47:13 +0000 2023;1695372317508145633;"Dana Bikin Hunian PNS di IKN Kurang, Abdi Negara Harus Rela Berbagi Kamar https://t.co/5nrS9SIgNj";0;0;0;0;in;1037879416456540160;1695372317508145633;bataranews_com;https://twitter.com/bataranews_com/status/1695372317508145633
