created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Aug 26 14:49:10 +0000 2023;1695448304002453900;"@worksfess wfh, wfo paling 2-3 hari seminggu";0;0;0;0;in;1546774549915508736;1695446835169763600;natspeanutJWJH;https://twitter.com/natspeanutJWJH/status/1695448304002453900
Sat Aug 26 14:47:54 +0000 2023;1695447985877041377;"@worksfess Wfh nder, kang gambar";0;0;0;0;in;1222890095839080449;1695446835169763600;only_a617;https://twitter.com/only_a617/status/1695447985877041377
Sat Aug 26 14:46:05 +0000 2023;1695447531000598678;"@worksfess wfh seminggu sekali. emang udah peraturan kantor dari dulu sih.";0;0;0;0;in;220916514;1695446835169763600;almighty97liner;https://twitter.com/almighty97liner/status/1695447531000598678
Sat Aug 26 14:43:11 +0000 2023;1695446799694389397;"hari ini ngajar 4 sesi dari pagi sampe malem. abis ini lanjut bikin soal try out. untung senin gue wfh 😭  sejujurnya sih mleyot, tapi gapapa karena dari gue umur 18 tahun udah biasa kek gini. semangat buat pejuang cuan yang punya beberapa kerjaan sekaligus karena keadaan 😅";0;0;0;0;in;1478884713372606464;1695446799694389397;quowenmoritor;https://twitter.com/quowenmoritor/status/1695446799694389397
Sat Aug 26 14:38:02 +0000 2023;1695445504589713535;"@CNNIndonesia Susah amat itu mulut ama otak buat bahas transportasi umum. Otak atik terus jam kerjalah, wfh lah, sembur aer lah.";0;0;0;0;in;569112916;1695441511478075431;Syamsudin1219;https://twitter.com/Syamsudin1219/status/1695445504589713535
Sat Aug 26 14:35:12 +0000 2023;1695444791507694044;"@elisa_jkt Rumah merangkap cubicle, jadi semua WFH.";0;0;1;3;in;61203621;1695442728635842912;bareda;https://twitter.com/bareda/status/1695444791507694044
Sat Aug 26 14:21:01 +0000 2023;1695441218883158054;"@dejavu_musings @New_kernel721 moulali neechanga tittu anna! emaina chalanam untademo chuddham";0;1;0;0;in;1563208106405834760;1695437179416137887;sacredblood_;https://twitter.com/sacredblood_/status/1695441218883158054
Sat Aug 26 14:20:23 +0000 2023;1695441063308345792;"@shintaaraa_ Temen-temenku yang ga punya art biasanya makannya beli, terus anaknya daycare baru bisa kerja wfh 9-5.  Iya sih kak, punya art minusnya emang drama mulu 😪";0;1;0;0;in;1083227061727055872;1695437525240918210;skinnyonna_;https://twitter.com/skinnyonna_/status/1695441063308345792
Sat Aug 26 14:16:38 +0000 2023;1695440119686373541;"Gua di kamar bersama batuk yg tak kunjung sembuh ini gila ya udh semingguan. Minum obat bukannya sembuh malah makin ilang suara gua. Mending cuti aja apa ya keknya emg kecapean tp syg mingdep ada wfh";0;1;0;0;in;624395971;1695439347775136135;innrccl;https://twitter.com/innrccl/status/1695440119686373541
Sat Aug 26 14:12:49 +0000 2023;1695439157521424543;"@worksfess Bisa WFH/WFA full. Jam kerja fleksibel. Jadi bisa lebih banyak waktu sama keluarga, sama anak yang mulai usia sekolah.";0;0;0;1;in;52099964;1695436644722352576;Hafidh_M;https://twitter.com/Hafidh_M/status/1695439157521424543
